state,county,latitude,longitude
PR,Adjuntas,18.165273,-66.722583
PR,Aguada,18.393103,-67.180953
PR,Aguadilla,18.455913,-67.14578
PR,Maricao,18.172947,-66.944111
PR,Anasco,18.288685,-67.139696
PR,Utuado,18.279531,-66.80217
PR,Arecibo,18.450674,-66.698262
PR,Barceloneta,18.447092,-66.544255
PR,Cabo Rojo,17.998531,-67.187318
PR,Penuelas,18.023535,-66.726156
PR,Camuy,18.477891,-66.85477
PR,Lares,18.269187,-66.864993
PR,San German,18.113284,-67.039706
PR,Sabana Grande,18.087322,-66.934911
PR,Ciales,18.33616,-66.472087
PR,Dorado,18.43606,-66.281954
PR,Guanica,17.969594,-66.939754
PR,Florida,18.360125,-66.562311
PR,Guayanilla,18.02328,-66.786909
PR,Hatillo,18.481391,-66.808696
PR,Hormigueros,18.145486,-67.135323
PR,Isabela,18.480285,-67.028155
PR,Jayuya,18.217606,-66.598306
PR,Lajas,18.015099,-67.055973
PR,Las Marias,18.252135,-66.990967
PR,Manati,18.44553,-66.490268
PR,Moca,18.383727,-67.080799
PR,Rincon,18.335781,-67.252547
PR,Quebradillas,18.45303,-66.933689
PR,Mayaguez,18.219023,-67.508068
PR,San Sebastian,18.3236,-66.972227
PR,Morovis,18.316976,-66.415207
PR,Vega Alta,18.435818,-66.338523
PR,Vega Baja,18.443109,-66.398302
PR,Yauco,18.06104,-66.861164
PR,Aguas Buenas,18.250398,-66.12845
PR,Guayama,17.99229,-66.139253
PR,Aibonito,18.128092,-66.268717
PR,Maunabo,18.007014,-65.898719
PR,Arroyo,17.96751,-66.04138
PR,Ponce,18.011854,-66.563721
PR,Naguabo,18.22139,-65.77831
PR,Naranjito,18.298017,-66.229751
PR,Orocovis,18.226862,-66.39402
PR,Rio Grande,18.364161,-65.778288
PR,Patillas,18.009994,-66.010572
PR,Caguas,18.212965,-66.058033
PR,Canovanas,18.333093,-65.883864
PR,Ceiba,18.264872,-65.594769
PR,Cayey,18.102967,-66.139274
PR,Fajardo,18.359381,-65.611361
PR,Cidra,18.181469,-66.169519
PR,Humacao,18.162156,-65.753485
PR,Salinas,17.99852,-66.264825
PR,San Lorenzo,18.187584,-65.962389
PR,Santa Isabel,17.991233,-66.395543
PR,Vieques,18.123347,-65.460356
PR,Villalba,18.120519,-66.496607
PR,Yabucoa,18.045522,-65.886988
PR,Coamo,18.095992,-66.35081
PR,Las Piedras,18.196576,-65.87197
PR,Loiza,18.447406,-65.899357
PR,Luquillo,18.366027,-65.708138
PR,Culebra,18.323736,-65.296467
PR,Juncos,18.206489,-65.901774
PR,Gurabo,18.259092,-65.974641
PR,Comerio,18.224958,-66.219885
PR,Corozal,18.304369,-66.330525
PR,Barranquitas,18.200898,-66.307236
PR,Juana Diaz,17.997367,-66.493218
VI,Saint Thomas,18.322285,-64.963715
VI,Saint Croix,17.734211,-64.734694
VI,Saint John,18.32816,-64.740737
PR,San Juan,18.465901,-66.103568
PR,Bayamon,18.34487,-66.166014
PR,Toa Baja,18.431911,-66.199692
PR,Toa Alta,18.356795,-66.25701
PR,Catano,18.437644,-66.140407
PR,Guaynabo,18.428784,-66.11539
PR,Trujillo Alto,18.338133,-65.989229
PR,Carolina,18.413452,-65.977659
MA,Hampden,42.140549,-72.788661
MA,Hampshire,42.367092,-72.464571
MA,Worcester,42.32916,-72.139465
MA,Berkshire,42.190904,-73.051661
MA,Franklin,42.474681,-72.467543
MA,Middlesex,42.446396,-71.459405
MA,Essex,42.647991,-71.165685
MA,Plymouth,41.970474,-70.701357
MA,Norfolk,42.076501,-71.470464
MA,Bristol,41.998799,-71.200894
MA,Suffolk,42.370567,-71.026964
MA,Barnstable,41.745505,-70.590471
MA,Dukes,41.379034,-70.673082
MA,Nantucket,41.287647,-70.08665
RI,Newport,41.530131,-71.284066
RI,Providence,41.954098,-71.462053
RI,Washington,41.322365,-71.679251
RI,Bristol,41.742501,-71.320395
RI,Kent,41.694251,-71.636786
NH,Hillsborough,42.87474,-71.629365
NH,Rockingham,42.989151,-71.343576
NH,Grafton,43.930221,-71.534068
NH,Belknap,43.417369,-71.373189
NH,Carroll,43.694809,-71.323953
NH,Sullivan,43.17229,-72.100689
NH,Cheshire,42.903656,-72.248052
NH,Coos,44.512344,-71.194226
NH,Strafford,43.285282,-70.930684
ME,York,43.279539,-70.740013
ME,Cumberland,43.735867,-69.995456
ME,Sagadahoc,44.023162,-69.875816
ME,Oxford,44.163033,-70.739823
ME,Androscoggin,44.087422,-70.243848
ME,Franklin,44.602705,-70.22651
ME,Kennebec,44.349166,-69.870181
ME,Lincoln,44.258771,-69.551024
ME,Waldo,44.39559,-69.4168
ME,Penobscot,45.061744,-68.878893
ME,Piscataquis,45.184103,-69.233382
ME,Hancock,44.641873,-68.391481
ME,Washington,45.002969,-67.495548
ME,Aroostook,46.516166,-68.886826
ME,Somerset,45.28657,-70.054629
ME,Knox,44.010424,-69.231179
VT,Windsor,43.591821,-72.463589
VT,Orange,44.004691,-72.15845
VT,Caledonia,44.359629,-72.086586
VT,Windham,43.171185,-72.623106
VT,Bennington,43.09893,-73.034944
VT,Chittenden,44.507404,-73.151384
VT,Grand Isle,44.93606,-73.289065
VT,Franklin,44.836967,-72.92169
VT,Lamoille,44.724842,-72.701554
VT,Addison,44.157814,-73.071813
VT,Washington,44.19906,-72.559638
VT,Rutland,43.630346,-72.93586
VT,Orleans,44.741679,-72.364639
VT,Essex,44.581613,-71.833956
CT,Hartford,41.757944,-72.728272
CT,Litchfield,42.001585,-73.295891
CT,Tolland,41.849319,-72.411777
CT,Windham,41.845504,-72.091889
CT,New London,41.628008,-72.245422
CT,New Haven,41.342514,-73.070301
CT,Fairfield,41.165097,-73.129186
CT,Middlesex,41.349098,-72.41338
NJ,Middlesex,40.582845,-74.27524
NJ,Hudson,40.670858,-74.109486
NJ,Essex,40.808549,-74.187005
NJ,Morris,40.918648,-74.430696
NJ,Bergen,40.820541,-73.98782
NJ,Passaic,40.877949,-74.141237
NJ,Union,40.654802,-74.304792
NJ,Somerset,40.629101,-74.532449
NJ,Sussex,41.115723,-74.593439
NJ,Monmouth,40.358409,-74.068143
NJ,Warren,40.869648,-74.849661
NJ,Hunterdon,40.717424,-74.813951
NJ,Salem,39.559077,-75.350573
NJ,Camden,39.908663,-75.010307
NJ,Ocean,39.753858,-74.293989
NJ,Burlington,40.049948,-74.917061
NJ,Gloucester,39.802163,-75.339215
NJ,Atlantic,39.563616,-74.711081
NJ,Cape May,39.112027,-74.731427
NJ,Cumberland,39.3762,-75.1617
NJ,Mercer,40.281558,-74.572449
NY,Suffolk,40.922326,-72.637078
NY,New York,40.750422,-73.996328
NY,Richmond,40.623632,-74.093323
NY,Bronx,40.819329,-73.920355
NY,Westchester,41.293169,-73.759033
NY,Putnam,41.415979,-73.725197
NY,Rockland,41.137295,-74.105737
NY,Orange,41.386195,-74.125718
NY,Nassau,40.720051,-73.706783
NY,Queens,40.745263,-73.711159
NY,Kings,40.694481,-73.989319
NY,Albany,42.482455,-73.936671
NY,Schenectady,42.859176,-73.902117
NY,Montgomery,42.906298,-74.229042
NY,Greene,42.28004,-73.837035
NY,Columbia,42.309805,-73.565617
NY,Rensselaer,42.670645,-73.55142
NY,Saratoga,42.934416,-73.848971
NY,Fulton,43.082793,-74.160753
NY,Schoharie,42.592287,-74.438129
NY,Washington,42.980783,-73.352206
NY,Otsego,42.632058,-74.667368
NY,Hamilton,43.667618,-74.456913
NY,Delaware,42.413508,-74.61939
NY,Ulster,41.96973,-74.06678
NY,Dutchess,41.826491,-73.710901
NY,Sullivan,41.686944,-74.677156
NY,Warren,43.31888,-73.669061
NY,Essex,44.214452,-73.787317
NY,Clinton,44.71187,-73.637104
NY,Franklin,44.674942,-74.444789
NY,Saint Lawrence,44.287829,-74.702338
NY,Onondaga,42.823968,-76.062425
NY,Cayuga,42.894381,-76.565683
NY,Oswego,43.310494,-76.135765
NY,Madison,43.005767,-75.798607
NY,Cortland,42.565932,-75.955301
NY,Tompkins,42.477712,-76.291224
NY,Oneida,43.14548,-75.559605
NY,Seneca,42.822662,-76.80197
NY,Chenango,42.479801,-75.622857
NY,Wayne,43.238248,-76.752077
NY,Lewis,43.818705,-75.480342
NY,Herkimer,43.271433,-75.04774
NY,Jefferson,44.072542,-76.016589
NY,Tioga,42.049798,-76.181009
NY,Broome,42.080494,-76.097288
NY,Erie,43.013808,-78.525296
NY,Genesee,42.998052,-78.184813
NY,Niagara,43.291696,-78.626944
NY,Wyoming,42.597171,-78.37463
NY,Allegany,42.474283,-78.247413
NY,Cattaraugus,42.408583,-78.984391
NY,Chautauqua,42.487716,-79.328287
NY,Orleans,43.324031,-78.367151
NY,Monroe,43.195261,-77.855883
NY,Livingston,42.895631,-77.735104
NY,Yates,42.754115,-77.026379
NY,Ontario,42.813576,-77.289687
NY,Steuben,42.535363,-77.628857
NY,Schuyler,42.375566,-76.732706
NY,Chemung,42.156516,-76.93164
PA,Beaver,40.675225,-80.304178
PA,Washington,40.341349,-80.382247
PA,Allegheny,40.493128,-79.903121
PA,Fayette,40.070268,-79.603426
PA,Westmoreland,40.361852,-79.75128
PA,Greene,39.870635,-80.211335
PA,Somerset,39.752401,-79.330768
PA,Bedford,40.198627,-78.622801
PA,Fulton,39.943762,-78.122265
PA,Armstrong,40.847829,-79.451575
PA,Indiana,40.542875,-79.397809
PA,Jefferson,41.171119,-78.913113
PA,Cambria,40.658721,-78.794582
PA,Clearfield,41.054375,-78.41095
PA,Elk,41.415878,-78.665057
PA,Forest,41.475887,-79.239101
PA,Cameron,41.417566,-78.204927
PA,Butler,40.885861,-79.934048
PA,Clarion,40.98399,-79.615234
PA,Lawrence,40.964516,-80.300736
PA,Crawford,41.629436,-80.214024
PA,Mercer,41.286567,-80.423727
PA,Venango,41.330725,-79.775153
PA,Warren,41.935848,-79.309668
PA,Mckean,41.742791,-78.78726
PA,Erie,41.894652,-80.311081
PA,Blair,40.489433,-78.349874
PA,Huntingdon,40.54851,-78.095064
PA,Centre,40.813628,-78.238986
PA,Potter,41.615099,-77.957975
PA,Clinton,41.105476,-77.50553
PA,Tioga,41.862339,-77.258974
PA,Bradford,41.77197,-76.521266
PA,Cumberland,40.21604,-76.924996
PA,Mifflin,40.539667,-77.790168
PA,Lebanon,40.352637,-76.435873
PA,Dauphin,40.600992,-76.811693
PA,Perry,40.29736,-77.56437
